                                                                                                                                               Solvent                                        CAS_solvent                                                                                       Family_solvent                                                                                                                                              Reactant1                                                                                            Family_R1                                                                                                                                              Reactant2                                                                                            Family_R2                                                                                                                                       Transition-State                                                                                            Family_TS                           T[K]                         P[bar]         DGsolv_exp_1[kcal/mol]        DGsolv_calc_1[kcal/mol]         DGsolv_exp_2[kcal/mol]        DGsolv_calc_2[kcal/mol]        DGsolv_exp_TS[kcal/mol]       DGsolv_calc_TS[kcal/mol]          DDGsolv_exp[kcal/mol]         DDGsolv_calc[kcal/mol]
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.66988                       -0.68648                       -1.97137                       -1.93923                       -3.44419                       -2.91957                       -0.80294                       -0.29386
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.13880                       -0.14687                       -2.48306                       -2.28137                       -2.85721                       -2.29729                       -0.23535                        0.13095
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.95418                       -1.13421                       -2.35917                       -2.55752                       -4.14825                       -4.28049                       -0.83490                       -0.58876
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.97059                       -1.13187                       -2.08122                       -2.06936                       -3.07304                       -2.85382                       -0.02123                        0.34742
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.87709                       -1.00154                       -1.25166                       -1.27381                       -2.55511                       -2.29032                       -0.42636                       -0.01498
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.57457                       -0.82626                       -2.42445                       -2.38282                       -3.06715                       -2.85850                       -0.06813                        0.35057
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.98494                       -1.09881                       -2.29484                       -2.23693                       -3.21545                       -2.99428                        0.06433                        0.34145
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                 ethane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS1                                                                                RORp-Transition-state                            298                              0                       -0.80865                       -0.93667                       -1.80317                       -1.83868                       -2.96088                       -2.82456                       -0.34906                       -0.04922
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS2                                                                                RORp-Transition-state                            298                              0                       -1.31324                       -1.41400                       -1.97137                       -1.93923                       -3.87867                       -3.62859                       -0.59406                       -0.27536
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS2                                                                                RORp-Transition-state                            298                              0                       -0.59475                       -0.70272                       -2.48306                       -2.28137                       -2.95834                       -2.82956                        0.11947                        0.15453
